"lang","country_alpha2_code","continent_code","continent"
"AF","MF","NA","Noord-Amerika"
"AF","MG","AF","Afrika"
"AF","MH","OC","Oseanië"
"AF","MK","EU","Europa"
"AF","ML","AF","Afrika"
"AF","MM","AS","Asië"
"AF","MN","AS","Asië"
"AF","MO","AS","Asië"
"AF","MP","OC","Oseanië"
"AF","MQ","NA","Noord-Amerika"
"AF","MR","AF","Afrika"
"AF","MS","NA","Noord-Amerika"
"AF","MT","EU","Europa"
"AF","MU","AF","Afrika"
"AF","MV","AS","Asië"
"AF","MW","AF","Afrika"
"AF","MX","NA","Noord-Amerika"
"AF","MY","AS","Asië"
"AF","MZ","AF","Afrika"
"AF","NA","AF","Afrika"
"AF","NC","OC","Oseanië"
"AF","NE","AF","Afrika"
"AF","NF","OC","Oseanië"
"AF","NG","AF","Afrika"
"AF","NI","NA","Noord-Amerika"
"AF","NL","EU","Europa"
"AF","NO","EU","Europa"
"AF","NP","AS","Asië"
"AF","NR","OC","Oseanië"
"AF","NU","OC","Oseanië"
"AF","NZ","OC","Oseanië"
"AF","OM","AS","Asië"
"AF","PA","NA","Noord-Amerika"
"AF","PE","SA","Suid-Amerika"
"AF","PF","OC","Oseanië"
"AF","PG","OC","Oseanië"
"AF","PH","AS","Asië"
"AF","PK","AS","Asië"
"AF","PL","EU","Europa"
"AF","PM","NA","Noord-Amerika"
"AF","PN","OC","Oseanië"
"AF","PR","NA","Noord-Amerika"
"AF","PS","AS","Asië"
"AF","PT","EU","Europa"
"AF","PW","OC","Oseanië"
"AF","PY","SA","Suid-Amerika"
"AF","QA","AS","Asië"
"AF","RE","AF","Afrika"
"AF","RO","EU","Europa"
"AF","RS","EU","Europa"
"AF","RU","AS","Asië"
"AF","RU","EU","Europa"
"AF","RW","AF","Afrika"
"AF","SA","AS","Asië"
"AF","SB","OC","Oseanië"
"AF","SC","AF","Afrika"
"AF","SD","AF","Afrika"
"AF","SE","EU","Europa"
"AF","SG","AS","Asië"
"AF","SH","AF","Afrika"
"AF","SI","EU","Europa"
"AF","SJ","EU","Europa"
"AF","SK","EU","Europa"
"AF","SL","AF","Afrika"
"AF","SM","EU","Europa"
"AF","SN","AF","Afrika"
"AF","SO","AF","Afrika"
"AF","SR","SA","Suid-Amerika"
"AF","SS","AF","Afrika"
"AF","ST","AF","Afrika"
"AF","SV","NA","Noord-Amerika"
"AF","SX","NA","Noord-Amerika"
"AF","SY","AS","Asië"
"AF","SZ","AF","Afrika"
"AF","TC","NA","Noord-Amerika"
"AF","TD","AF","Afrika"
"AF","TF","AN","Antartika"
"AF","TG","AF","Afrika"
"AF","TH","AS","Asië"
"AF","TJ","AS","Asië"
"AF","TK","OC","Oseanië"
"AF","TL","AS","Asië"
"AF","TM","AS","Asië"
"AF","TN","AF","Afrika"
"AF","TO","OC","Oseanië"
"AF","TR","AS","Asië"
"AF","TR","EU","Europa"
"AF","TT","NA","Noord-Amerika"
"AF","TV","OC","Oseanië"
"AF","TW","AS","Asië"
"AF","TZ","AF","Afrika"
"AF","UA","EU","Europa"
"AF","UG","AF","Afrika"
"AF","UM","OC","Oseanië"
"AF","US","NA","Noord-Amerika"
"AF","UY","SA","Suid-Amerika"
"AF","UZ","AS","Asië"
"AF","VA","EU","Europa"
"AF","VC","NA","Noord-Amerika"
"AF","VE","SA","Suid-Amerika"
"AF","VG","NA","Noord-Amerika"
"AF","VI","NA","Noord-Amerika"
"AF","VN","AS","Asië"
"AF","VU","OC","Oseanië"
"AF","WF","OC","Oseanië"
"AF","WS","OC","Oseanië"
"AF","YE","AS","Asië"
"AF","YT","AF","Afrika"
"AF","ZA","AF","Afrika"
"AF","ZM","AF","Afrika"
"AF","ZW","AF","Afrika"
"AM","AD","EU","አውሮፓ"
"AM","AE","AS","እስያ"
"AM","AF","AS","እስያ"
"AM","AG","NA","ሰሜን አሜሪካ"
"AM","AI","NA","ሰሜን አሜሪካ"
"AM","AL","EU","አውሮፓ"
"AM","AM","EU","እስያ"
"AM","AO","AF","አፍሪቃ"
"AM","AQ","AN","አንታርክቲካ"
"AM","AR","SA","ደቡብ አሜሪካ"
"AM","AS","OC","ኦሺያኒያ"
"AM","AT","EU","አውሮፓ"
"AM","AU","OC","ኦሺያኒያ"
"AM","AW","NA","ሰሜን አሜሪካ"
"AM","AX","EU","አውሮፓ"
"AM","AZ","AS","እስያ"
"AM","AZ","EU","አውሮፓ"
"AM","BA","EU","አውሮፓ"
"AM","BB","NA","ሰሜን አሜሪካ"
"AM","BD","AS","እስያ"
"AM","BE","EU","አውሮፓ"
"AM","BF","AF","አፍሪቃ"
"AM","BG","EU","አውሮፓ"
"AM","BH","AS","እስያ"
"AM","BI","AF","አፍሪቃ"
"AM","BJ","AF","አፍሪቃ"
"AM","BL","NA","ሰሜን አሜሪካ"
"AM","BM","NA","ሰሜን አሜሪካ"
"AM","BN","AS","እስያ"
"AM","BO","SA","ደቡብ አሜሪካ"
"AM","BQ","NA","ሰሜን አሜሪካ"
"AM","BR","SA","ደቡብ አሜሪካ"
"AM","BS","NA","ሰሜን አሜሪካ"
"AM","BT","AS","እስያ"
"AM","BV","AN","አንታርክቲካ"
"AM","BW","AF","አፍሪቃ"
"AM","BY","EU","አውሮፓ"
"AM","BZ","NA","ሰሜን አሜሪካ"
"AM","CA","NA","ሰሜን አሜሪካ"
"AM","CC","AS","እስያ"
"AM","CD","AF","አፍሪቃ"
"AM","CF","AF","አፍሪቃ"
"AM","CG","AF","አፍሪቃ"
"AM","CH","EU","አውሮፓ"
"AM","CI","AF","አፍሪቃ"
"AM","CK","OC","ኦሺያኒያ"
"AM","CL","SA","ደቡብ አሜሪካ"
"AM","CM","AF","አፍሪቃ"
"AM","CN","AS","እስያ"
"AM","CO","SA","ደቡብ አሜሪካ"
"AM","CR","NA","ሰሜን አሜሪካ"
"AM","CU","NA","ሰሜን አሜሪካ"
"AM","CV","AF","አፍሪቃ"
"AM","CW","NA","ሰሜን አሜሪካ"
"AM","CX","AS","እስያ"
"AM","CY","EU","እስያ"
"AM","CZ","EU","አውሮፓ"
"AM","DE","EU","አውሮፓ"
"AM","DJ","AF","አፍሪቃ"
"AM","DK","EU","አውሮፓ"
"AM","DM","NA","ሰሜን አሜሪካ"
"AM","DO","NA","ሰሜን አሜሪካ"
"AM","DZ","AF","አፍሪቃ"
"AM","EC","SA","ደቡብ አሜሪካ"
"AM","EE","EU","አውሮፓ"
"AM","EG","AF","አፍሪቃ"
"AM","EH","AF","አፍሪቃ"
"AM","ER","AF","አፍሪቃ"
"AM","ES","EU","አውሮፓ"
"AM","ET","AF","አፍሪቃ"
"AM","FI","EU","አውሮፓ"
"AM","FJ","OC","ኦሺያኒያ"
"AM","FK","SA","ደቡብ አሜሪካ"
"AM","FM","OC","ኦሺያኒያ"
"AM","FO","EU","አውሮፓ"
"AM","FR","EU","አውሮፓ"
"AM","GA","AF","አፍሪቃ"
"AM","GB","EU","አውሮፓ"
"AM","GD","NA","ሰሜን አሜሪካ"
"AM","GE","AS","እስያ"
"AM","GE","EU","አውሮፓ"
"AM","GF","SA","ደቡብ አሜሪካ"
"AM","GG","EU","አውሮፓ"
"AM","GH","AF","አፍሪቃ"
"AM","GI","EU","አውሮፓ"
"AM","GL","NA","ሰሜን አሜሪካ"
"AM","GM","AF","አፍሪቃ"
"AM","GN","AF","አፍሪቃ"
"AM","GP","NA","ሰሜን አሜሪካ"
"AM","GQ","AF","አፍሪቃ"
"AM","GR","EU","አውሮፓ"
"AM","GS","AN","አንታርክቲካ"
"AM","GT","NA","ሰሜን አሜሪካ"
"AM","GU","OC","ኦሺያኒያ"
"AM","GW","AF","አፍሪቃ"
"AM","GY","SA","ደቡብ አሜሪካ"
"AM","HK","AS","እስያ"
"AM","HM","AN","አንታርክቲካ"
"AM","HN","NA","ሰሜን አሜሪካ"
"AM","HR","EU","አውሮፓ"
"AM","HT","NA","ሰሜን አሜሪካ"
"AM","HU","EU","አውሮፓ"
"AM","ID","AS","እስያ"
"AM","IE","EU","አውሮፓ"
"AM","IL","AS","እስያ"
"AM","IM","EU","አውሮፓ"
"AM","IN","AS","እስያ"
"AM","IO","AS","እስያ"
"AM","IQ","AS","እስያ"
"AM","IR","AS","እስያ"
"AM","IS","EU","አውሮፓ"
"AM","IT","EU","አውሮፓ"
"AM","JE","EU","አውሮፓ"
"AM","JM","NA","ሰሜን አሜሪካ"
"AM","JO","AS","እስያ"
"AM","JP","AS","እስያ"
"AM","KE","AF","አፍሪቃ"
"AM","KG","AS","እስያ"
"AM","KH","AS","እስያ"
"AM","KI","OC","ኦሺያኒያ"
"AM","KM","AF","አፍሪቃ"
"AM","KN","NA","ሰሜን አሜሪካ"
"AM","KP","AS","እስያ"
"AM","KR","AS","እስያ"
"AM","KW","AS","እስያ"
"AM","KY","NA","ሰሜን አሜሪካ"
"AM","KZ","AS","እስያ"
"AM","KZ","EU","አውሮፓ"
"AM","LA","AS","እስያ"
"AM","LB","AS","እስያ"
"AM","LC","NA","ሰሜን አሜሪካ"
"AM","LI","EU","አውሮፓ"
"AM","LK","AS","እስያ"
"AM","LR","AF","አፍሪቃ"
"AM","LS","AF","አፍሪቃ"
"AM","LT","EU","አውሮፓ"
"AM","LU","EU","አውሮፓ"
"AM","LV","EU","አውሮፓ"
"AM","LY","AF","አፍሪቃ"
"AM","MA","AF","አፍሪቃ"
"AM","MC","EU","አውሮፓ"
"AM","MD","EU","አውሮፓ"
"AM","ME","EU","አውሮፓ"
"AM","MF","NA","ሰሜን አሜሪካ"
"AM","MG","AF","አፍሪቃ"
"AM","MH","OC","ኦሺያኒያ"
"AM","MK","EU","አውሮፓ"
"AM","ML","AF","አፍሪቃ"
"AM","MM","AS","እስያ"
"AM","MN","AS","እስያ"
"AM","MO","AS","እስያ"
"AM","MP","OC","ኦሺያኒያ"
"AM","MQ","NA","ሰሜን አሜሪካ"
"AM","MR","AF","አፍሪቃ"
"AM","MS","NA","ሰሜን አሜሪካ"
"AM","MT","EU","አውሮፓ"
"AM","MU","AF","አፍሪቃ"
"AM","MV","AS","እስያ"
"AM","MW","AF","አፍሪቃ"
"AM","MX","NA","ሰሜን አሜሪካ"
"AM","MY","AS","እስያ"
"AM","MZ","AF","አፍሪቃ"
"AM","NA","AF","አፍሪቃ"
"AM","NC","OC","ኦሺያኒያ"
"AM","NE","AF","አፍሪቃ"
"AM","NF","OC","ኦሺያኒያ"
"AM","NG","AF","አፍሪቃ"
"AM","NI","NA","ሰሜን አሜሪካ"
"AM","NL","EU","አውሮፓ"
"AM","NO","EU","አውሮፓ"
"AM","NP","AS","እስያ"
"AM","NR","OC","ኦሺያኒያ"
"AM","NU","OC","ኦሺያኒያ"
"AM","NZ","OC","ኦሺያኒያ"
"AM","OM","AS","እስያ"
"AM","PA","NA","ሰሜን አሜሪካ"
"AM","PE","SA","ደቡብ አሜሪካ"
"AM","PF","OC","ኦሺያኒያ"
"AM","PG","OC","ኦሺያኒያ"
"AM","PH","AS","እስያ"
"AM","PK","AS","እስያ"
"AM","PL","EU","አውሮፓ"
"AM","PM","NA","ሰሜን አሜሪካ"
"AM","PN","OC","ኦሺያኒያ"
"AM","PR","NA","ሰሜን አሜሪካ"
"AM","PS","AS","እስያ"
"AM","PT","EU","አውሮፓ"
"AM","PW","OC","ኦሺያኒያ"
"AM","PY","SA","ደቡብ አሜሪካ"
"AM","QA","AS","እስያ"
"AM","RE","AF","አፍሪቃ"
"AM","RO","EU","አውሮፓ"
"AM","RS","EU","አውሮፓ"
"AM","RU","AS","እስያ"
"AM","RU","EU","አውሮፓ"
"AM","RW","AF","አፍሪቃ"
"AM","SA","AS","እስያ"
"AM","SB","OC","ኦሺያኒያ"
"AM","SC","AF","አፍሪቃ"
"AM","SD","AF","አፍሪቃ"
"AM","SE","EU","አውሮፓ"
"AM","SG","AS","እስያ"
"AM","SH","AF","አፍሪቃ"
"AM","SI","EU","አውሮፓ"
"AM","SJ","EU","አውሮፓ"
"AM","SK","EU","አውሮፓ"
"AM","SL","AF","አፍሪቃ"
"AM","SM","EU","አውሮፓ"
"AM","SN","AF","አፍሪቃ"
"AM","SO","AF","አፍሪቃ"
"AM","SR","SA","ደቡብ አሜሪካ"
"AM","SS","AF","አፍሪቃ"
"AM","ST","AF","አፍሪቃ"
"AM","SV","NA","ሰሜን አሜሪካ"
"AM","SX","NA","ሰሜን አሜሪካ"
"AM","SY","AS","እስያ"
"AM","SZ","AF","አፍሪቃ"
"AM","TC","NA","ሰሜን አሜሪካ"
"AM","TD","AF","አፍሪቃ"
"AM","TF","AN","አንታርክቲካ"
"AM","TG","AF","አፍሪቃ"
"AM","TH","AS","እስያ"
"AM","TJ","AS","እስያ"
"AM","TK","OC","ኦሺያኒያ"
"AM","TL","AS","እስያ"
"AM","TM","AS","እስያ"
"AM","TN","AF","አፍሪቃ"
"AM","TO","OC","ኦሺያኒያ"
"AM","TR","AS","እስያ"
"AM","TR","EU","አውሮፓ"
"AM","TT","NA","ሰሜን አሜሪካ"
"AM","TV","OC","ኦሺያኒያ"
"AM","TW","AS","እስያ"
"AM","TZ","AF","አፍሪቃ"
"AM","UA","EU","አውሮፓ"
"AM","UG","AF","አፍሪቃ"
"AM","UM","OC","ኦሺያኒያ"
"AM","US","NA","ሰሜን አሜሪካ"
"AM","UY","SA","ደቡብ አሜሪካ"
"AM","UZ","AS","እስያ"
"AM","VA","EU","አውሮፓ"
"AM","VC","NA","ሰሜን አሜሪካ"
"AM","VE","SA","ደቡብ አሜሪካ"
"AM","VG","NA","ሰሜን አሜሪካ"
"AM","VI","NA","ሰሜን አሜሪካ"
"AM","VN","AS","እስያ"
"AM","VU","OC","ኦሺያኒያ"
"AM","WF","OC","ኦሺያኒያ"
"AM","WS","OC","ኦሺያኒያ"
"AM","YE","AS","እስያ"
"AM","YT","AF","አፍሪቃ"
"AM","ZA","AF","አፍሪቃ"
"AM","ZM","AF","አፍሪቃ"
"AM","ZW","AF","አፍሪቃ"
"AR","AD","EU","أوروبا"
"AR","AE","AS","آسيا"
"AR","AF","AS","آسيا"
"AR","AG","NA","أمريكا الشمالية"
"AR","AI","NA","أمريكا الشمالية"
"AR","AL","EU","أوروبا"
"AR","AM","EU","أوروبا"
"AR","AO","AF","أفريقيا"
"AR","AQ","AN","انتاركتيكا"
"AR","AR","SA","أمريكا الجنوبية"
"AR","AS","OC","أوقيانوسيا"
"AR","AT","EU","أوروبا"
"AR","AU","OC","أوقيانوسيا"
"AR","AW","NA","أمريكا الشمالية"
"AR","AX","EU","أوروبا"
"AR","AZ","AS","آسيا"
"AR","AZ","EU","أوروبا"
"AR","BA","EU","أوروبا"
"AR","BB","NA","أمريكا الشمالية"
"AR","BD","AS","آسيا"
"AR","BE","EU","أوروبا"
"AR","BF","AF","أفريقيا"
"AR","BG","EU","أوروبا"
"AR","BH","AS","آسيا"
"AR","BI","AF","أفريقيا"
"AR","BJ","AF","أفريقيا"
"AR","BL","NA","أمريكا الشمالية"
"AR","BM","NA","أمريكا الشمالية"
"AR","BN","AS","آسيا"
"AR","BO","SA","أمريكا الجنوبية"
"AR","BQ","NA","أمريكا الشمالية"
"AR","BR","SA","أمريكا الجنوبية"
"AR","BS","NA","أمريكا الشمالية"
"AR","BT","AS","آسيا"
"AR","BV","AN","انتاركتيكا"
"AR","BW","AF","أفريقيا"
"AR","BY","EU","أوروبا"
"AR","BZ","NA","أمريكا الشمالية"
"AR","CA","NA","أمريكا الشمالية"
"AR","CC","AS","آسيا"
"AR","CD","AF","أفريقيا"
"AR","CF","AF","أفريقيا"
"AR","CG","AF","أفريقيا"
"AR","CH","EU","أوروبا"
"AR","CI","AF","أفريقيا"
"AR","CK","OC","أوقيانوسيا"
"AR","CL","SA","أمريكا الجنوبية"
"AR","CM","AF","أفريقيا"
"AR","CN","AS","آسيا"
"AR","CO","SA","أمريكا الجنوبية"
"AR","CR","NA","أمريكا الشمالية"
"AR","CU","NA","أمريكا الشمالية"
"AR","CV","AF","أفريقيا"
"AR","CW","NA","أمريكا الشمالية"
"AR","CX","AS","آسيا"
"AR","CY","EU","أوروبا"
"AR","CZ","EU","أوروبا"
"AR","DE","EU","أوروبا"
"AR","DJ","AF","أفريقيا"
"AR","DK","EU","أوروبا"
"AR","DM","NA","أمريكا الشمالية"
"AR","DO","NA","أمريكا الشمالية"
"AR","DZ","AF","أفريقيا"
"AR","EC","SA","أمريكا الجنوبية"
"AR","EE","EU","أوروبا"
"AR","EG","AF","أفريقيا"
"AR","EH","AF","أفريقيا"
"AR","ER","AF","أفريقيا"
"AR","ES","EU","أوروبا"
"AR","ET","AF","أفريقيا"
"AR","FI","EU","أوروبا"
"AR","FJ","OC","أوقيانوسيا"
"AR","FK","SA","أمريكا الجنوبية"
"AR","FM","OC","أوقيانوسيا"
"AR","FO","EU","أوروبا"
"AR","FR","EU","أوروبا"
"AR","GA","AF","أفريقيا"
"AR","GB","EU","أوروبا"
"AR","GD","NA","أمريكا الشمالية"
"AR","GE","AS","آسيا"
"AR","GE","EU","أوروبا"
"AR","GF","SA","أمريكا الجنوبية"
"AR","GG","EU","أوروبا"
"AR","GH","AF","أفريقيا"
"AR","GI","EU","أوروبا"
"AR","GL","NA","أمريكا الشمالية"
"AR","GM","AF","أفريقيا"
"AR","GN","AF","أفريقيا"
"AR","GP","NA","أمريكا الشمالية"
"AR","GQ","AF","أفريقيا"
"AR","GR","EU","أوروبا"
"AR","GS","AN","انتاركتيكا"
"AR","GT","NA","أمريكا الشمالية"
"AR","GU","OC","أوقيانوسيا"
"AR","GW","AF","أفريقيا"
"AR","GY","SA","أمريكا الجنوبية"
"AR","HK","AS","آسيا"
"AR","HM","AN","انتاركتيكا"
"AR","HN","NA","أمريكا الشمالية"
"AR","HR","EU","أوروبا"
"AR","HT","NA","أمريكا الشمالية"
"AR","HU","EU","أوروبا"
"AR","ID","AS","آسيا"
"AR","IE","EU","أوروبا"
"AR","IL","AS","آسيا"
"AR","IM","EU","أوروبا"
"AR","IN","AS","آسيا"
"AR","IO","AS","آسيا"
"AR","IQ","AS","آسيا"
"AR","IR","AS","آسيا"
"AR","IS","EU","أوروبا"
"AR","IT","EU","أوروبا"
"AR","JE","EU","أوروبا"
"AR","JM","NA","أمريكا الشمالية"
"AR","JO","AS","آسيا"
"AR","JP","AS","آسيا"
"AR","KE","AF","أفريقيا"
"AR","KG","AS","آسيا"
"AR","KH","AS","آسيا"
"AR","KI","OC","أوقيانوسيا"
"AR","KM","AF","أفريقيا"
"AR","KN","NA","أمريكا الشمالية"
"AR","KP","AS","آسيا"
"AR","KR","AS","آسيا"
"AR","KW","AS","آسيا"
"AR","KY","NA","أمريكا الشمالية"
"AR","KZ","AS","آسيا"
"AR","KZ","EU","أوروبا"
"AR","LA","AS","آسيا"
"AR","LB","AS","آسيا"
"AR","LC","NA","أمريكا الشمالية"
"AR","LI","EU","أوروبا"
"AR","LK","AS","آسيا"
"AR","LR","AF","أفريقيا"
"AR","LS","AF","أفريقيا"
"AR","LT","EU","أوروبا"
"AR","LU","EU","أوروبا"
"AR","LV","EU","أوروبا"
"AR","LY","AF","أفريقيا"
"AR","MA","AF","أفريقيا"
"AR","MC","EU","أوروبا"
"AR","MD","EU","أوروبا"
"AR","ME","EU","أوروبا"
"AR","MF","NA","أمريكا الشمالية"
"AR","MG","AF","أفريقيا"
"AR","MH","OC","أوقيانوسيا"
"AR","MK","EU","أوروبا"
"AR","ML","AF","أفريقيا"
"AR","MM","AS","آسيا"
"AR","MN","AS","آسيا"
"AR","MO","AS","آسيا"
"AR","MP","OC","أوقيانوسيا"
"AR","MQ","NA","أمريكا الشمالية"
"AR","MR","AF","أفريقيا"
"AR","MS","NA","أمريكا الشمالية"
"AR","MT","EU","أوروبا"
"AR","MU","AF","أفريقيا"
"AR","MV","AS","آسيا"
"AR","MW","AF","أفريقيا"
"AR","MX","NA","أمريكا الشمالية"
"AR","MY","AS","آسيا"
"AR","MZ","AF","أفريقيا"
"AR","NA","AF","أفريقيا"
"AR","NC","OC","أوقيانوسيا"
"AR","NE","AF","أفريقيا"
"AR","NF","OC","أوقيانوسيا"
"AR","NG","AF","أفريقيا"
"AR","NI","NA","أمريكا الشمالية"
"AR","NL","EU","أوروبا"
"AR","NO","EU","أوروبا"
"AR","NP","AS","آسيا"
"AR","NR","OC","أوقيانوسيا"
"AR","NU","OC","أوقيانوسيا"
"AR","NZ","OC","أوقيانوسيا"
"AR","OM","AS","آسيا"
"AR","PA","NA","أمريكا الشمالية"
"AR","PE","SA","أمريكا الجنوبية"
"AR","PF","OC","أوقيانوسيا"
"AR","PG","OC","أوقيانوسيا"
"AR","PH","AS","آسيا"
"AR","PK","AS","آسيا"
"AR","PL","EU","أوروبا"
"AR","PM","NA","أمريكا الشمالية"
"AR","PN","OC","أوقيانوسيا"
"AR","PR","NA","أمريكا الشمالية"
"AR","PS","AS","آسيا"
"AR","PT","EU","أوروبا"
"AR","PW","OC","أوقيانوسيا"
"AR","PY","SA","أمريكا الجنوبية"
"AR","QA","AS","آسيا"
"AR","RE","AF","أفريقيا"
"AR","RO","EU","أوروبا"
"AR","RS","EU","أوروبا"
"AR","RU","AS","آسيا"
"AR","RU","EU","أوروبا"
"AR","RW","AF","أفريقيا"
"AR","SA","AS","آسيا"
"AR","SB","OC","أوقيانوسيا"
"AR","SC","AF","أفريقيا"
"AR","SD","AF","أفريقيا"
"AR","SE","EU","أوروبا"
"AR","SG","AS","آسيا"
"AR","SH","AF","أفريقيا"
"AR","SI","EU","أوروبا"
"AR","SJ","EU","أوروبا"
"AR","SK","EU","أوروبا"
"AR","SL","AF","أفريقيا"
"AR","SM","EU","أوروبا"
"AR","SN","AF","أفريقيا"
"AR","SO","AF","أفريقيا"
"AR","SR","SA","أمريكا الجنوبية"
"AR","SS","AF","أفريقيا"
"AR","ST","AF","أفريقيا"
"AR","SV","NA","أمريكا الشمالية"
"AR","SX","NA","أمريكا الشمالية"
"AR","SY","AS","آسيا"
"AR","SZ","AF","أفريقيا"
"AR","TC","NA","أمريكا الشمالية"
"AR","TD","AF","أفريقيا"
"AR","TF","AN","انتاركتيكا"
"AR","TG","AF","أفريقيا"
"AR","TH","AS","آسيا"
"AR","TJ","AS","آسيا"
"AR","TK","OC","أوقيانوسيا"
"AR","TL","AS","آسيا"
"AR","TM","AS","آسيا"
"AR","TN","AF","أفريقيا"
"AR","TO","OC","أوقيانوسيا"
"AR","TR","AS","آسيا"
"AR","TR","EU","أوروبا"
"AR","TT","NA","أمريكا الشمالية"
"AR","TV","OC","أوقيانوسيا"
"AR","TW","AS","آسيا"
"AR","TZ","AF","أفريقيا"
"AR","UA","EU","أوروبا"
"AR","UG","AF","أفريقيا"
"AR","UM","OC","أوقيانوسيا"
"AR","US","NA","أمريكا الشمالية"
"AR","UY","SA","أمريكا الجنوبية"
"AR","UZ","AS","آسيا"
"AR","VA","EU","أوروبا"
"AR","VC","NA","أمريكا الشمالية"
"AR","VE","SA","أمريكا الجنوبية"
"AR","VG","NA","أمريكا الشمالية"
